shape of LD: 300 x 138
shape of TD: 74 x 138
route node: 0
TAN model constructed.
data id: 0, predicted: 0, true: 0
data id: 1, predicted: 1, true: 0
data id: 2, predicted: 0, true: 0
data id: 3, predicted: 1, true: 1
data id: 4, predicted: 1, true: 1
data id: 5, predicted: 1, true: 1
data id: 6, predicted: 1, true: 1
data id: 7, predicted: 0, true: 0
data id: 8, predicted: 1, true: 1
data id: 9, predicted: 1, true: 0
data id: 10, predicted: 1, true: 1
data id: 11, predicted: 1, true: 1
data id: 12, predicted: 1, true: 0
data id: 13, predicted: 0, true: 0
data id: 14, predicted: 0, true: 0
data id: 15, predicted: 1, true: 1
data id: 16, predicted: 1, true: 0
data id: 17, predicted: 0, true: 0
data id: 18, predicted: 1, true: 1
data id: 19, predicted: 1, true: 0
data id: 20, predicted: 1, true: 1
data id: 21, predicted: 1, true: 0
data id: 22, predicted: 1, true: 1
data id: 23, predicted: 0, true: 1
data id: 24, predicted: 1, true: 1
data id: 25, predicted: 1, true: 1
data id: 26, predicted: 1, true: 1
data id: 27, predicted: 1, true: 0
data id: 28, predicted: 1, true: 1
data id: 29, predicted: 1, true: 0
data id: 30, predicted: 1, true: 1
data id: 31, predicted: 0, true: 0
data id: 32, predicted: 1, true: 1
data id: 33, predicted: 1, true: 1
data id: 34, predicted: 1, true: 1
data id: 35, predicted: 1, true: 0
data id: 36, predicted: 1, true: 1
data id: 37, predicted: 0, true: 0
data id: 38, predicted: 0, true: 0
data id: 39, predicted: 0, true: 1
data id: 40, predicted: 0, true: 1
data id: 41, predicted: 1, true: 1
data id: 42, predicted: 1, true: 1
data id: 43, predicted: 1, true: 0
data id: 44, predicted: 1, true: 1
data id: 45, predicted: 1, true: 0
data id: 46, predicted: 1, true: 1
data id: 47, predicted: 0, true: 1
data id: 48, predicted: 1, true: 1
data id: 49, predicted: 0, true: 1
data id: 50, predicted: 1, true: 1
data id: 51, predicted: 1, true: 0
data id: 52, predicted: 1, true: 1
data id: 53, predicted: 1, true: 0
data id: 54, predicted: 1, true: 0
data id: 55, predicted: 1, true: 1
data id: 56, predicted: 1, true: 1
data id: 57, predicted: 0, true: 1
data id: 58, predicted: 0, true: 1
data id: 59, predicted: 0, true: 0
data id: 60, predicted: 1, true: 0
data id: 61, predicted: 1, true: 0
data id: 62, predicted: 1, true: 0
data id: 63, predicted: 1, true: 0
data id: 64, predicted: 1, true: 0
data id: 65, predicted: 1, true: 0
data id: 66, predicted: 1, true: 0
data id: 67, predicted: 1, true: 0
data id: 68, predicted: 1, true: 0
data id: 69, predicted: 0, true: 0
data id: 70, predicted: 0, true: 0
data id: 71, predicted: 0, true: 0
data id: 72, predicted: 1, true: 0
data id: 73, predicted: 0, true: 0
accuracy of TAN on TD: 0.581081081081081
